Score,Scorer,Time,Session,Sex,Age,Task,FinalPP,BasePP,lnBasePP,TaskPP,lnTaskPP
13,1,20:00,1,Male,22,Suturing,0.026227603,0.006657445,-2.176692413,0.007071885,-2.15046481
15,1,20:00,1,Male,23,Suturing,-0.232983074,0.013570245,-1.867412311,0.007936054,-2.100395386
18,1,20:00,1,Male,23,Suturing,-0.10422981,0.007040193,-2.152415435,0.005538023,-2.256645245
12,1,20:00,1,Male,23,Suturing,0.05856577,0.006861741,-2.163565679,0.007852358,-2.104999909
22,1,20:00,1,Male,25,Suturing,-0.004929687,0.007639514,-2.116934269,0.007553288,-2.121863956
9,1,20:00,1,Male,22,Suturing,NA,0.005655116,-2.247558482,NA,NA
10,1,20:00,1,Male,24,Suturing,-0.022684743,0.007626537,-2.117672618,0.007238401,-2.140357361
14,1,20:00,1,Male,22,Suturing,-0.033741347,0.007554808,-2.121776568,0.006990079,-2.155517916
11,1,20:00,1,Male,23,Suturing,0.035310966,0.007647257,-2.116494314,0.008295005,-2.081183348
13,1,20:00,1,Male,22,Suturing,0.025976971,0.006177183,-2.209209532,0.00655794,-2.183232561
12,1,20:00,1,Female,23,Suturing,NA,NA,NA,NA,NA
13,1,20:00,1,Female,22,Suturing,0.061007415,0.00618752,-2.208483384,0.007120722,-2.147475969
16,1,20:00,1,Female,26,Suturing,0.174278241,0.007621834,-2.117940514,0.011385123,-1.943662273
21,1,19:15,1,Female,25,Suturing,-0.147652818,0.008808817,-2.055082412,0.00626996,-2.20273523
15,1,20:00,1,Female,22,Suturing,-0.023288517,0.007029366,-2.153083844,0.006662353,-2.17637236
15,2,20:00,1,Male,22,Suturing,0.026227603,0.006657445,-2.176692413,0.007071885,-2.15046481
17,2,20:00,1,Male,23,Suturing,-0.232983074,0.013570245,-1.867412311,0.007936054,-2.100395386
17,2,20:00,1,Male,23,Suturing,-0.10422981,0.007040193,-2.152415435,0.005538023,-2.256645245
11,2,20:00,1,Male,23,Suturing,0.05856577,0.006861741,-2.163565679,0.007852358,-2.104999909
23,2,20:00,1,Male,25,Suturing,-0.004929687,0.007639514,-2.116934269,0.007553288,-2.121863956
10,2,20:00,1,Male,22,Suturing,NA,0.005655116,-2.247558482,NA,NA
13,2,20:00,1,Male,24,Suturing,-0.022684743,0.007626537,-2.117672618,0.007238401,-2.140357361
17,2,20:00,1,Male,22,Suturing,-0.033741347,0.007554808,-2.121776568,0.006990079,-2.155517916
10,2,20:00,1,Male,23,Suturing,0.035310966,0.007647257,-2.116494314,0.008295005,-2.081183348
15,2,20:00,1,Male,22,Suturing,0.025976971,0.006177183,-2.209209532,0.00655794,-2.183232561
16,2,20:00,1,Female,23,Suturing,NA,NA,NA,NA,NA
17,2,20:00,1,Female,22,Suturing,0.061007415,0.00618752,-2.208483384,0.007120722,-2.147475969
12,2,20:00,1,Female,26,Suturing,0.174278241,0.007621834,-2.117940514,0.011385123,-1.943662273
20,2,19:15,1,Female,25,Suturing,-0.147652818,0.008808817,-2.055082412,0.00626996,-2.20273523
15,2,20:00,1,Female,22,Suturing,-0.023288517,0.007029366,-2.153083844,0.006662353,-2.17637236
15,1,20:00,2,Male,22,Suturing,0.041088177,0.008652118,-2.062877566,0.009510659,-2.021789389
16,1,20:00,2,Male,23,Suturing,-0.210471479,0.012602266,-1.899551358,0.007762063,-2.110022837
20,1,20:00,2,Male,23,Suturing,NA,0.006118958,-2.213322528,NA,NA
18,1,20:00,2,Male,23,Suturing,0.004153171,0.006194256,-2.20801085,0.006253776,-2.203857679
25,1,16:25,2,Male,25,Suturing,-0.000415818,0.004680264,-2.329729649,0.004675785,-2.330145467
21,1,20:00,2,Male,22,Suturing,-0.122215442,0.008557117,-2.06767253,0.006458208,-2.189887972
12,1,20:00,2,Male,24,Suturing,0.046847264,0.006689656,-2.174596214,0.007451626,-2.127748951
17,1,20:00,2,Male,22,Suturing,-0.080511378,0.008027844,-2.095401075,0.006669412,-2.175912453
15,1,20:00,2,Male,23,Suturing,0.038509176,0.006268308,-2.202849672,0.00684951,-2.164340496
16,1,20:00,2,Male,22,Suturing,0.015954539,0.006099068,-2.214736525,0.006327294,-2.198781985
22,1,17:50,2,Female,23,Suturing,-0.040081117,0.006964775,-2.157092909,0.006350764,-2.197174026
17,1,20:00,2,Female,22,Suturing,-0.056468178,0.00950609,-2.021998078,0.008347064,-2.078466257
23,1,19:55,2,Female,26,Suturing,0.160631468,0.006569979,-2.182436019,0.009510327,-2.02180455
22,1,19:50,2,Female,25,Suturing,-0.100852213,0.009001595,-2.045680531,0.007136204,-2.146532743
24,1,18:05,2,Female,22,Suturing,0.052207949,0.00480079,-2.318687291,0.00541403,-2.266479342
13,2,20:00,2,Male,22,Suturing,0.041088177,0.008652118,-2.062877566,0.009510659,-2.021789389
19,2,20:00,2,Male,23,Suturing,-0.210471479,0.012602266,-1.899551358,0.007762063,-2.110022837
22,2,20:00,2,Male,23,Suturing,NA,0.006118958,-2.213322528,NA,NA
17,2,20:00,2,Male,23,Suturing,0.004153171,0.006194256,-2.20801085,0.006253776,-2.203857679
25,2,16:25,2,Male,25,Suturing,-0.000415818,0.004680264,-2.329729649,0.004675785,-2.330145467
20,2,20:00,2,Male,22,Suturing,-0.122215442,0.008557117,-2.06767253,0.006458208,-2.189887972
14,2,20:00,2,Male,24,Suturing,0.046847264,0.006689656,-2.174596214,0.007451626,-2.127748951
21,2,20:00,2,Male,22,Suturing,-0.080511378,0.008027844,-2.095401075,0.006669412,-2.175912453
16,2,20:00,2,Male,23,Suturing,0.038509176,0.006268308,-2.202849672,0.00684951,-2.164340496
15,2,20:00,2,Male,22,Suturing,0.015954539,0.006099068,-2.214736525,0.006327294,-2.198781985
24,2,17:50,2,Female,23,Suturing,-0.040081117,0.006964775,-2.157092909,0.006350764,-2.197174026
19,2,20:00,2,Female,22,Suturing,-0.056468178,0.00950609,-2.021998078,0.008347064,-2.078466257
22,2,19:55,2,Female,26,Suturing,0.160631468,0.006569979,-2.182436019,0.009510327,-2.02180455
22,2,19:50,2,Female,25,Suturing,-0.100852213,0.009001595,-2.045680531,0.007136204,-2.146532743
25,2,18:05,2,Female,22,Suturing,0.052207949,0.00480079,-2.318687291,0.00541403,-2.266479342
16,1,20:00,3,Male,22,Suturing,0.010190641,0.007832819,-2.106081909,0.008018788,-2.095891268
16,1,20:00,3,Male,23,Suturing,0.015945246,0.007284234,-2.137616111,0.007556647,-2.121670865
25,1,15:05,3,Male,23,Suturing,0.06984876,0.006742984,-2.171147871,0.007919557,-2.101299111
19,1,20:00,3,Male,23,Suturing,-0.077580182,0.007885061,-2.103194943,0.006595153,-2.180775125
27,1,16:20,3,Male,25,Suturing,0.582519016,0.005733069,-2.241612831,0.021923313,-1.659093816
22,1,20:00,3,Male,22,Suturing,-0.051955617,0.00772889,-2.111882874,0.006857432,-2.16383849
13,1,20:00,3,Male,24,Suturing,0.040620429,0.006883706,-2.162177686,0.007558624,-2.121557258
18,1,19:59,3,Male,22,Suturing,0.072385214,0.009000026,-2.045756236,0.010632343,-1.973371021
18,1,20:00,3,Male,23,Suturing,0.137576844,0.006280287,-2.202020509,0.008620974,-2.064443665
19,1,20:00,3,Male,22,Suturing,-0.034168515,0.005062228,-2.295658298,0.004679217,-2.329826814
23,1,14:30,3,Female,23,Suturing,-0.053323,0.007526014,-2.123434978,0.00665644,-2.176757978
18,1,20:00,3,Female,22,Suturing,0.089181333,0.008584695,-2.06627513,0.010541592,-1.977093797
23,1,19:15,3,Female,26,Suturing,0.064620089,0.006974816,-2.156467245,0.008093807,-2.091847156
24,1,18:10,3,Female,25,Suturing,0.08596639,0.00697524,-2.156440845,0.008502087,-2.070474455
23,1,19:45,3,Female,22,Suturing,0.040104514,0.005298562,-2.275841979,0.005811156,-2.235737466
17,2,20:00,3,Male,22,Suturing,0.010190641,0.007832819,-2.106081909,0.008018788,-2.095891268
14,2,20:00,3,Male,23,Suturing,0.015945246,0.007284234,-2.137616111,0.007556647,-2.121670865
23,2,15:05,3,Male,23,Suturing,0.06984876,0.006742984,-2.171147871,0.007919557,-2.101299111
22,2,20:00,3,Male,23,Suturing,-0.077580182,0.007885061,-2.103194943,0.006595153,-2.180775125
24,2,16:20,3,Male,25,Suturing,0.582519016,0.005733069,-2.241612831,0.021923313,-1.659093816
26,2,20:00,3,Male,22,Suturing,-0.051955617,0.00772889,-2.111882874,0.006857432,-2.16383849
18,2,20:00,3,Male,24,Suturing,0.040620429,0.006883706,-2.162177686,0.007558624,-2.121557258
23,2,19:59,3,Male,22,Suturing,0.072385214,0.009000026,-2.045756236,0.010632343,-1.973371021
20,2,20:00,3,Male,23,Suturing,0.137576844,0.006280287,-2.202020509,0.008620974,-2.064443665
19,2,20:00,3,Male,22,Suturing,-0.034168515,0.005062228,-2.295658298,0.004679217,-2.329826814
27,2,14:30,3,Female,23,Suturing,-0.053323,0.007526014,-2.123434978,0.00665644,-2.176757978
16,2,20:00,3,Female,22,Suturing,0.089181333,0.008584695,-2.06627513,0.010541592,-1.977093797
26,2,19:15,3,Female,26,Suturing,0.064620089,0.006974816,-2.156467245,0.008093807,-2.091847156
22,2,18:10,3,Female,25,Suturing,0.08596639,0.00697524,-2.156440845,0.008502087,-2.070474455
25,2,19:45,3,Female,22,Suturing,0.040104514,0.005298562,-2.275841979,0.005811156,-2.235737466
17,1,20:00,4,Male,22,Suturing,NA,NA,NA,0.007459585,-2.127285333
19,1,20:00,4,Male,23,Suturing,-0.04935931,0.006479966,-2.188427273,0.005783802,-2.237786583
24,1,15:25,4,Male,23,Suturing,0.146974931,0.006272187,-2.202581002,0.008798202,-2.055606071
22,1,17:30,4,Male,23,Suturing,0.013894917,0.007415427,-2.129863836,0.007656514,-2.115968919
29,1,12:10,4,Male,25,Suturing,-0.024609732,0.009025241,-2.044541192,0.008528037,-2.069150924
28,1,11:55,4,Male,22,Suturing,0.014001169,0.006478232,-2.188543503,0.006690486,-2.174542334
14,1,18:35,4,Male,24,Suturing,0.044562757,0.007354116,-2.133469524,0.008148792,-2.088906768
20,1,20:00,4,Male,22,Suturing,0.05399386,0.007498998,-2.124996762,0.008491748,-2.071002902
20,1,19:45,4,Male,23,Suturing,0.126084911,0.006564055,-2.182827789,0.008775202,-2.056742878
17,1,20:00,4,Male,22,Suturing,-0.0165985,0.005510568,-2.258803634,0.005303931,-2.275402134
25,1,12:10,4,Female,23,Suturing,0.095354995,0.006194297,-2.208007975,0.007715197,-2.11265298
24,1,20:00,4,Female,22,Suturing,0.210271856,0.006481278,-2.18833935,0.010517984,-1.978067494
24,1,19:55,4,Female,26,Suturing,0.059754238,0.007428798,-2.129081451,0.008524576,-2.069327213
23,1,19:55,4,Female,25,Suturing,0.157274349,0.006053829,-2.217969851,0.008695699,-2.060695502
25,1,14:25,4,Female,22,Suturing,-0.009540508,0.005275333,-2.277750121,0.005160709,-2.287290629
18,2,20:00,4,Male,22,Suturing,NA,NA,NA,0.007459585,-2.127285333
21,2,20:00,4,Male,23,Suturing,-0.04935931,0.006479966,-2.188427273,0.005783802,-2.237786583
25,2,15:25,4,Male,23,Suturing,0.146974931,0.006272187,-2.202581002,0.008798202,-2.055606071
24,2,17:30,4,Male,23,Suturing,0.013894917,0.007415427,-2.129863836,0.007656514,-2.115968919
28,2,12:10,4,Male,25,Suturing,-0.024609732,0.009025241,-2.044541192,0.008528037,-2.069150924
29,2,11:55,4,Male,22,Suturing,0.014001169,0.006478232,-2.188543503,0.006690486,-2.174542334
19,2,18:35,4,Male,24,Suturing,0.044562757,0.007354116,-2.133469524,0.008148792,-2.088906768
22,2,20:00,4,Male,22,Suturing,0.05399386,0.007498998,-2.124996762,0.008491748,-2.071002902
22,2,19:45,4,Male,23,Suturing,0.126084911,0.006564055,-2.182827789,0.008775202,-2.056742878
18,2,20:00,4,Male,22,Suturing,-0.0165985,0.005510568,-2.258803634,0.005303931,-2.275402134
24,2,12:10,4,Female,23,Suturing,0.095354995,0.006194297,-2.208007975,0.007715197,-2.11265298
23,2,20:00,4,Female,22,Suturing,0.210271856,0.006481278,-2.18833935,0.010517984,-1.978067494
24,2,19:55,4,Female,26,Suturing,0.059754238,0.007428798,-2.129081451,0.008524576,-2.069327213
22,2,19:55,4,Female,25,Suturing,0.157274349,0.006053829,-2.217969851,0.008695699,-2.060695502
20,2,14:25,4,Female,22,Suturing,-0.009540508,0.005275333,-2.277750121,0.005160709,-2.287290629
15,1,20:00,5,Male,22,Suturing,NA,0.02950804,-1.530059636,NA,NA
20,1,19:10,5,Male,23,Suturing,-0.056063358,0.006701418,-2.173833292,0.005889838,-2.22989665
23,1,18:10,5,Male,23,Suturing,-0.011754711,0.008157108,-2.088463788,0.007939287,-2.100218498
22,1,16:05,5,Male,23,Suturing,0.032249225,0.007356058,-2.133354855,0.007923086,-2.10110563
23,1,17:10,5,Male,25,Suturing,0.055299157,0.006230693,-2.205463647,0.007076777,-2.150164489
27,1,18:05,5,Male,22,Suturing,-0.058494633,0.007585527,-2.120014241,0.006629658,-2.178508875
15,1,14:10,5,Male,24,Suturing,NA,NA,NA,NA,NA
23,1,19:00,5,Male,22,Suturing,0.065875296,0.006326574,-2.198831408,0.007362815,-2.132956112
24,1,20:00,5,Male,23,Suturing,0.065997317,0.006790488,-2.168099014,0.007904935,-2.102101697
19,1,20:00,5,Male,22,Suturing,0.001492533,0.00858393,-2.066313833,0.008613481,-2.0648213
27,1,12:55,5,Female,23,Suturing,0.082064821,0.00681288,-2.166669261,0.008229919,-2.084604439
25,1,18:35,5,Female,22,Suturing,0.266571281,0.006031647,-2.219564083,0.01114313,-1.952992803
26,1,19:20,5,Female,26,Suturing,0.046106188,0.006856825,-2.163876934,0.007624814,-2.117770746
23,1,19:40,5,Female,25,Suturing,0.005309341,0.00645223,-2.19029016,0.006531594,-2.184980819
27,1,12:35,5,Female,22,Suturing,0.059305422,0.004764787,-2.321956509,0.005461965,-2.262651087
17,2,20:00,5,Male,22,Suturing,NA,0.02950804,-1.530059636,NA,NA
21,2,19:10,5,Male,23,Suturing,-0.056063358,0.006701418,-2.173833292,0.005889838,-2.22989665
23,2,18:10,5,Male,23,Suturing,-0.011754711,0.008157108,-2.088463788,0.007939287,-2.100218498
25,2,16:05,5,Male,23,Suturing,0.032249225,0.007356058,-2.133354855,0.007923086,-2.10110563
27,2,17:10,5,Male,25,Suturing,0.055299157,0.006230693,-2.205463647,0.007076777,-2.150164489
28,2,18:05,5,Male,22,Suturing,-0.058494633,0.007585527,-2.120014241,0.006629658,-2.178508875
21,2,14:10,5,Male,24,Suturing,NA,NA,NA,NA,NA
20,2,19:00,5,Male,22,Suturing,0.065875296,0.006326574,-2.198831408,0.007362815,-2.132956112
21,2,20:00,5,Male,23,Suturing,0.065997317,0.006790488,-2.168099014,0.007904935,-2.102101697
17,2,20:00,5,Male,22,Suturing,0.001492533,0.00858393,-2.066313833,0.008613481,-2.0648213
27,2,12:55,5,Female,23,Suturing,0.082064821,0.00681288,-2.166669261,0.008229919,-2.084604439
22,2,18:35,5,Female,22,Suturing,0.266571281,0.006031647,-2.219564083,0.01114313,-1.952992803
20,2,19:20,5,Female,26,Suturing,0.046106188,0.006856825,-2.163876934,0.007624814,-2.117770746
20,2,19:40,5,Female,25,Suturing,0.005309341,0.00645223,-2.19029016,0.006531594,-2.184980819
27,2,12:35,5,Female,22,Suturing,0.059305422,0.004764787,-2.321956509,0.005461965,-2.262651087
